state	!=	$	&&	(	)	*	+	-	/	3	4	;	<	<=	=	==	>	>=	[	]	do	else	float	i	if	int	j	while	{	||	}	L	M	N	bool	decl	decls	expr	expr;	factor	id	num	rel	stmt	stmts	stmts'	term	type	
11	r11	error	r11	error	r11	r11	r11	r11	r11	error	error	r11	r11	r11	error	r11	r11	r11	error	r11	error	error	error	error	error	error	error	error	error	r11	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
12	r97	error	r97	error	r97	s94	r97	r97	s95	error	error	r97	r97	r97	error	r97	r97	r97	error	r97	error	error	error	error	error	error	error	error	error	r97	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
13	error	error	error	s13	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	14	error	error	15	error	7	9	11	error	error	error	error	12	error	
14	error	error	s64	error	s76	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s66	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
15	s80	error	error	error	s81	error	s47	s49	error	error	error	error	s82	s83	error	s84	s85	s86	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	27	error	error	error	error	error	
16	error	error	error	s13	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	17	error	error	18	error	7	9	11	error	error	error	error	12	error	
17	error	error	s64	error	r77	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s66	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
18	s80	error	error	error	error	error	s47	s49	error	error	error	error	s82	s83	error	s84	s85	s86	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	27	error	error	error	error	error	
19	error	error	error	s13	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	20	error	error	18	error	7	9	11	error	error	error	error	12	error	
20	error	error	s64	error	r78	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s66	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
21	error	error	error	s13	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	22	error	error	18	error	7	9	11	error	error	error	error	12	error	
22	error	error	s64	error	s79	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s66	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
23	error	error	error	s13	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	24	error	error	18	error	7	9	11	error	error	error	error	12	error	
24	error	error	s64	error	s69	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s66	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
25	error	error	error	s13	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	26	error	error	18	error	7	9	11	error	error	error	error	12	error	
26	error	error	s64	error	s72	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s66	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
27	error	error	error	s2	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	5	error	error	error	error	error	28	error	7	9	11	error	error	error	error	12	error	
28	error	error	r87	error	r87	error	s47	s49	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r87	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
29	error	r30	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s33	error	s34	s8	s36	s37	s10	s42	s43	error	r30	31	error	error	error	32	error	error	error	error	35	error	error	38	39	40	error	41	
31	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s100	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
32	error	r32	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r32	error	r32	r32	r32	r32	r32	r32	r32	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
33	error	r65	error	r65	error	error	error	error	error	r65	r65	error	error	error	error	error	error	error	error	error	r65	error	error	r65	r65	error	r65	r65	r65	error	r65	error	51	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
34	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r34	error	error	r34	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
35	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s45	error	error	error	s1	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
36	error	error	error	s23	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
37	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r37	error	error	r37	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
38	error	r65	error	r65	error	error	error	error	error	r65	r65	error	error	error	error	error	error	error	error	error	r65	error	error	r65	r65	error	r65	r65	r65	error	r65	error	60	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
39	error	acc39	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
